thread_name,thread_url
I will code your EAs and Indicators for no charge,https://www.forexfactory.com/thread/166758-i-will-code-your-eas-and-indicators-for
Indicators with ON/OFF buttons,https://www.forexfactory.com/thread/1013309-indicators-with-onoff-buttons
non repaint indicator,https://www.forexfactory.com/thread/1138989-non-repaint-indicator
Elliott Wave design based on sensitivity,https://www.forexfactory.com/thread/1227623-elliott-wave-design-based-on-sensitivity
Dashboard Trading,https://www.forexfactory.com/thread/532236-dashboard-trading
DisplayClick,https://www.forexfactory.com/thread/1229262-displayclick
Need Best Support and Resistance Indicator,https://www.forexfactory.com/thread/624820-need-best-support-and-resistance-indicator
"Define symbols we can see after we click ""new chart"" button",https://www.forexfactory.com/thread/1229120-define-symbols-we-can-see-after-we-click
I will code your scalping EAs for no charge,https://www.forexfactory.com/thread/1101440-i-will-code-your-scalping-eas-for-no
High/Low indicator for MT4,https://www.forexfactory.com/thread/29967-highlow-indicator-for-mt4
MADdash (Moving Average Distance),https://www.forexfactory.com/thread/545718-maddash-moving-average-distance
Trend Bias and Weighted Trade Signals Trading Tools,https://www.forexfactory.com/thread/1031552-trend-bias-and-weighted-trade-signals-trading-tools
how to scale inclined texts on mt4 charts?,https://www.forexfactory.com/thread/1228576-how-to-scale-inclined-texts-on-mt4-charts
EA Forum,https://www.forexfactory.com/thread/319715-ea-forum
Order Block and Smart Money Concept MT5 Ea Bots,https://www.forexfactory.com/thread/1197906-order-block-and-smart-money-concept-mt5-ea
adding 3 moving averages to RSI chart,https://www.forexfactory.com/thread/1228549-adding-3-moving-averages-to-rsi-chart
The best tester in the world,https://www.forexfactory.com/thread/1205185-the-best-tester-in-the-world
"Open Prices of Candles: D1, H4, H1, M15",https://www.forexfactory.com/thread/425834-open-prices-of-candles-d1-h4-h1-m15
Dashboard EAX,https://www.forexfactory.com/thread/568595-dashboard-eax
MT5 Script,https://www.forexfactory.com/thread/1228096-mt5-script
ChatGPT Bots and Indicators+,https://www.forexfactory.com/thread/1223627-chatgpt-bots-and-indicators
Added functions on Zig Zag indicator,https://www.forexfactory.com/thread/1228631-added-functions-on-zig-zag-indicator
Simple scanner for forex 28 pairs reversal,https://www.forexfactory.com/thread/1228611-simple-scanner-for-forex-28-pairs-reversal
Looking for EA: Button on Chart & Edit Fields (Lot-SL-TP),https://www.forexfactory.com/thread/1228598-looking-for-ea-button-on-chart-edit
Jurik indicators,https://www.forexfactory.com/thread/696822-jurik-indicators
MT4 Strategy Tester Stop Running after Couple Days Data,https://www.forexfactory.com/thread/1228575-mt4-strategy-tester-stop-running-after-couple-days
ADR Average daily Range Indicator,https://www.forexfactory.com/thread/697128-adr-average-daily-range-indicator
I will code your strategy for free,https://www.forexfactory.com/thread/1074061-i-will-code-your-strategy-for-free
Automatically Scale charts using Button,https://www.forexfactory.com/thread/890930-automatically-scale-charts-using-button
arrow multitimeframe indicator,https://www.forexfactory.com/thread/1228565-arrow-multitimeframe-indicator
"Predicting MA, Price Cross",https://www.forexfactory.com/thread/1228557-predicting-ma-price-cross
Is day trading with trading view basic account advisable?,https://www.forexfactory.com/thread/1228514-is-day-trading-with-trading-view-basic-account
Daily open line indicator - please help!,https://www.forexfactory.com/thread/205169-daily-open-line-indicator-please-help
Help needed trying to learn the MQ4 language,https://www.forexfactory.com/thread/1227310-help-needed-trying-to-learn-the-mq4-language
21 SMA and 50 SMA,https://www.forexfactory.com/thread/1228293-21-sma-and-50-sma
Equity/Balance Displayer,https://www.forexfactory.com/thread/254701-equitybalance-displayer
Indicator deletes all drawn objects when changing TF,https://www.forexfactory.com/thread/748623-indicator-deletes-all-drawn-objects-when-changing-tf
RSI+MA arrow multitimeframe indicator,https://www.forexfactory.com/thread/1228219-rsima-arrow-multitimeframe-indicator
Auto Elliott Wave,https://www.forexfactory.com/thread/693066-auto-elliott-wave
MT5 - Risk reward tool similar to Tradingview,https://www.forexfactory.com/thread/1227949-mt5-risk-reward-tool-similar-to-tradingview
Send notification from MT 4 & 5 to Telegram,https://www.forexfactory.com/thread/747973-send-notification-from-mt-4-5-to
TOP 100 best Expert Advisors: post good EAs here,https://www.forexfactory.com/thread/811119-top-100-best-expert-advisors-post-good-eas
EA or Script for Stop-Limit orders in MT4,https://www.forexfactory.com/thread/1227919-ea-or-script-for-stop-limit-orders-in-mt4
Horizontal Lines with Timeframe text?,https://www.forexfactory.com/thread/1227629-horizontal-lines-with-timeframe-text
Best trade manager?,https://www.forexfactory.com/thread/1227801-best-trade-manager
sideways - contraction - consolidation phase Indicator,https://www.forexfactory.com/thread/976261-sideways-contraction-consolidation-phase-indicator
EA that opens a trade at a specific time,https://www.forexfactory.com/thread/720193-ea-that-opens-a-trade-at-a-specific
